longitude;latitude;Clase_SOM;Phosphate;Iron;Bottom light;Nitrate;Dissolved oxygen;pH;Salinity;Silicate;Temperature;PAR;Organic matter;Chlorophyll-a;Phytoplankton;Bottom utilized oxygen;Primary productivity ;Asp_bat;East_bat;River influence;Benthic current velocity;Runoff;Wind;Land distance;Mean_bat;Nort_bat;Rdmv_bat;Slop_bat;Stde_bat;Surf_bat;Substrate hardness;Particle size;Euphotic layer depth;Light attenuation coefficient;IBMR
871390.5;826814.5;15;2.7370517;0.0007056;0;35.8944778;19.3543015;7.9835229;34.7536087;52.9586906;9.7646389;38.3511314;5.6872897;0.0102234;0.0282448;5.7982249;0;294.5400085;-0.9096714;0.8120018;0.1051531;0;1.438186;0.4474171;-117.3332977;0.4153288;-0.0072464;0.7922491;150.5839996;-121;48.6832008;3.9447114;41.1912003;0.1531343;0.052307
875851.5;826814.5;15;2.4268508;0.0006423;0.004841;31.5984039;30.8066788;7.9832063;34.8256989;36.8301582;11.9505491;38.543251;5.4437814;0.0701471;0.1801277;5.8109331;0.0002095;350.2893982;-0.1686714;0.8005051;0.1144558;0;1.4679248;0.4412918;-72.625;0.9856724;-0.1206268;1.217955;92.6700287;-114;46.0707512;3.9303451;39.1039925;0.162114;0.057914
880312.5;826814.5;14;2.0825453;0.0005495;0.0116754;26.7575073;49.7495422;7.9829035;34.8904762;22.3627472;14.0881929;38.7092743;5.5994544;0.1533981;0.3926538;5.7452869;0.0005053;3.8550739;0.067233;0.7916192;0.1166021;0;1.4976637;0.4322061;-67;0.9977373;-0.0058309;0.5968561;85.7839737;-69;40.0261383;4.0765724;37.7189064;0.2619967;0.0691893
884773.5;826814.5;14;1.8582253;0.0004684;0.0173688;23.5861816;66.1952438;7.9826026;34.9195862;14.7248116;15.316515;38.8719902;5.8536425;0.2214224;0.5677263;5.6697087;0.0008358;278.1300964;-0.9899495;0.7812148;0.114953;0;1.5274026;0.422745;-71.6666565;0.141421;-0.2043012;0.0681026;9.3452301;-78;42.3919449;4.0920005;36.4228249;0.3734023;0.0984036
889234.5;826814.5;14;1.7058969;0.0003942;0.0223775;21.4165955;81.1426544;7.9824467;34.9272957;11.1845598;15.9992428;39.0099602;5.6732883;0.2803107;0.7203265;5.6121712;0.0011871;292.6199036;-0.9230769;0.7693256;0.1110267;0;1.5571414;0.4121125;-63;0.3846154;0.027027;0.1669398;12.4811001;-62;47.5568314;4.1098518;35.9245567;0.4770334;0.1329592
893695.5;826814.5;14;1.632676;0.0003601;0.0244421;20.3579388;88.4625015;7.9823241;34.8995705;9.5256138;16.3395309;39.1422195;3.7890484;0.3108189;0.8000867;5.5587969;0.0013822;329.4208069;-0.5087295;0.7682417;0.1031372;1.84E-05;1.5670427;0.4012096;-56.6666718;0.8609264;0.3838384;0.1640752;11.3724804;-44;48.5111198;4.1992164;35.610405;0.5788704;0.1707749
898156.5;826814.5;14;1.6263925;0.0003598;0.0240154;20.239296;89.3282547;7.981945;34.8418655;9.4585428;16.3900623;39.489872;3.9404762;0.3173132;0.8182132;5.1402998;0.0014451;23.5232105;0.3991205;0.7819459;0.0918942;6.75E-05;1.5438813;0.3666871;-54.3333282;0.9168985;0.2261904;0.1488073;10.32796;-48;49.1855621;4.2512093;34.6164742;0.8272058;0.1954461
902617.5;826814.5;14;1.6310647;0.0003646;0.020636;20.3249855;88.6799088;7.9814744;34.8196564;9.5176058;16.3498611;39.9141922;4.2124019;0.3131061;0.8063119;4.5918441;0.0013814;31.2637291;0.5189781;0.7957865;0.0865188;0.0001167;1.52072;0.3237576;-57.1111107;0.8547875;-0.0858586;0.1051616;7.340064;-59;49.2365494;4.22896;33.3805885;1.1276846;0.2152181
907078.5;826814.5;14;1.6486847;0.0003753;0.013767;20.6521549;86.2421646;7.9811692;34.8393974;9.7257357;16.2024326;40.1986351;6.1938548;0.2962518;0.7589235;4.389298;0.0011682;78.6900711;0.9805807;0.8084219;0.0880777;0.0001658;1.4975586;0.2969566;-59.2222214;0.1961161;-0.1461989;0.0081849;6.0512218;-62;48.1704979;4.2155428;31.8958111;1.2701585;0.2390133
911539.5;826814.5;14;1.6233706;0.0003786;0.0089727;20.1476154;89.0324936;7.9809475;34.8290253;9.5982294;16.5126419;40.4118271;5.0742908;0.3012595;0.7782445;4.3629694;0.0015206;227.7263031;-0.7399402;0.8193225;0.0860847;0.0002149;1.4743972;0.2783721;-56.2222214;-0.6726727;-0.3040936;0.0954516;6.4079428;-62;41.7611771;4.1097527;30.2842407;1.3321393;0.268291
916000.5;826814.5;14;1.5264996;0.0003697;0.007636;18.2568913;100.5362625;7.9808292;34.7684708;8.9113312;17.5855827;40.7642136;6.4572601;0.3427036;0.9087479;4.3476191;0.0028159;273.4473877;-0.9981905;0.8277812;0.0781715;0.000264;1.4512359;0.2441536;-49.6666718;0.060132;0.0396826;0.1334724;12.2655802;-48;37.8195267;4.0967355;28.1475906;1.6494753;0.2968786
920461.5;826814.5;14;1.3131973;0.0004338;0.8711866;14.7782078;122.4100418;7.9807835;34.4977341;8.137002;19.5079193;41.2143364;9.2511063;0.379629;1.1291229;4.3399768;0.0067295;322.4543152;-0.6093944;0.8407629;0.0782979;0.0003168;1.4176805;0.1989582;-39.1111107;0.7928672;0.0363985;0.2449682;18.6574097;-37;35.6880341;4.2888036;25.642271;2.1461034;0.3404146
924922.5;826814.5;9;0.8171329;0.0006748;3.8351777;7.4430447;169.4681549;7.9807019;33.716568;7.1503434;23.4930706;41.4604492;8.7333336;0.4055803;1.5677574;4.396183;0.0170021;324.0628967;-0.5868973;0.8786337;0.097949;0.0003952;1.3113672;0.1654826;-24.2222195;0.8096614;0.0435435;0.3746967;23.5408802;-21;39.5100098;4.3071027;23.6374798;2.5547352;0.4074824
929383.5;826814.5;9;0.4116083;0.0009224;9.2996025;1.500282;207.1190186;7.9805522;33.0121384;6.4843345;26.7016792;41.527523;10.019105;0.4228028;1.9275342;4.5468688;0.0251943;313.9769897;-0.719619;0.9268219;0.1166162;0.0004736;1.2050538;0.136712;-5.666667;0.6943691;0.0074906;0.3814299;25.3815308;-5;32.9330025;4.2503695;22.1088009;2.9734266;0.5106665
